Años de experiencia;Salario
1.1;     39,343.00
1.3;     46,205.00
1.5;     37,731.00
2;     43,525.00
2.2;     39,891.00
2.9;     56,642.00
3;     60,150.00
3.2;     54,445.00
3.2;     64,445.00
3.7;     57,189.00
3.9;     63,218.00
4;     55,794.00
4;     56,957.00
4.1;     57,081.00
4.5;     61,111.00
4.9;     67,938.00
5.1;     66,029.00
5.3;     83,088.00
5.9;     81,363.00
6;     93,940.00
6.8;     91,738.00
7.1;     98,273.00
7.9;  101,302.00
8.2;  113,812.00
8.7;  109,431.00
9;  105,582.00
9.5;  116,969.00
9.6;  112,635.00
10.3;  122,391.00
10.5;  121,872.00
